PoliceDepartment,UserID,user.mentioned,UserName,created_at,description,friend_count,follower_count,tff,tff_range,comention.public,comention.mention,no_mentions_inTweet,area,fav_retweet,UserLocation,PDLocation,MentionedUser.LocationTag,UserRole
CLEpolice,755113,shaunking,Shaun King,02-06-2007 05:17,Senior Justice Writer @NYDailyNews; @Morehouse alum; Husband; Father of 5; Writing a book; News Tips: sking@nydailynews.com,4121,246308,59.77,>10,1,1,2,APC,2,"brooklyn, ny","cleveland, oh",Non-Local,Media
PortlandPolice,2911101,josephjrose,Joseph Rose,3/29/2007 23:46,"Co-director of @TrinityWallSt West Cornwall Center, CT. Cubs fanatic. Theology, Simpsons, music geek. Thoreau reader, wood chopper and tree climber.",8266,10565,1.28,1->2,0,1,2,AC,4,"west cornwall, ct","portland, oregon",Non-Local,Other Sectors
PortlandPolice,2992751,oregonian,The Oregonian,3/30/2007 17:03,News updates from the largest news org in the Pacific NW. See it all at http://t.co/ToPnEyXhD7. Find reporter and more accounts in our lists.,419,154616,369.01,>10,0,1,1,AC,6,"portland, oregon","portland, oregon",Local,Media
SLMPD,6039302,stltoday,STLtoday,5/14/2007 17:51,"St. Louis news, sports, business, features, blogs, photos and video -- from the St. Louis Post-Dispatch. @Weatherbird is the Twitter ambassador for the P-D.",150,133443,889.62,>10,0,1,1,AC,6,"st. louis, mo.","st. louis, mo",Local,Media
SpokanePD,7940822,kxly4news,#kxly 4 News,08-03-2007 20:38,"News,weather and entertainment from Spokane, Coeur d'Alene, and the Inland Northwest. We'll make you laugh, too. Thanks for following #kxly",6216,32216,5.18,2->10,1,1,2,APC,2,"spokane, washington","spokane, wa",Local,Media
PortlandPolice,8073492,bikeportland,BikePortland,08-09-2007 07:23,"Daily news since 2005 - https://t.co/v8EmZ1WUU0 - Tipline 503-706-8804 
- Publisher Jonathan Maus - jm 
- News Editor Michael Andersen - ma",1373,22136,16.12,>10,1,1,3,APC,16,"portland, oregon, usa","portland, oregon",Local,Media
NYPDnews,9542972,pix11news,PIX11 News,10/19/2007 14:07,"PIX11 News, where every story hits home. New York's hometown station since 1948.",2757,47723,17.31,>10,0,1,2,AC,25,"new york, ny",new york city,Local,Not Identified
oaklandpoliceca,9677372,kqed,KQED,10/25/2007 7:09,"We're your Northern California @PBS and @NPR stations ‰ÛÓ the home of @KQEDNews, @KQEDArts, @KQEDScience and so much more.",3026,61094,20.19,>10,0,1,3,AC,6,"san francisco, ca","oakland, ca",Local,Not Identified
ScottsdalePD,9721292,abc15,ABC15 Arizona,10/26/2007 21:32,Your #1 source for #breaking news in Arizona. Join our conversation with #abc15. News tip?  share@abc15.com or call 602-685-6351,64720,190973,2.95,2->10,0,1,3,AC,26,"phoenix, az","scottsdale, arizona",Non-Local,Media
NYPDnews,9763482,nydailynews,New York Daily News,10/29/2007 0:07,"Breaking news, politics, entertainment and sports coverage in New York City and beyond | Snapchat: NYDailyNews | http://t.co/biVL3lO6pz",1303,450072,345.41,>10,1,1,2,APC,16,new york city,new york city,Local,Media
SLMPD,11265832,fox2now,FOX2now,12/17/2007 21:14,"The official Twitter page for KTVI FOX 2 News St. Louis. Breaking news, #STL stories, video, photo galleries. Follow our reporters for more.",1367,130966,95.81,>10,1,1,1,APC,21,"st. louis, missouri","st. louis, mo",Local,Not Identified
detroitpolice,12219162,wdet,WDET 101.9FM,1/14/2008 15:04,"Detroit's Public Radio Station. News, culture, music and podcast. https://t.co/s3qH4fpJJR",1450,23235,16.02,>10,1,1,1,APC,2,detroit,"city of detroit, mi",Local,Other Sectors
VBPD,12413892,13newsnow,13News Now,1/18/2008 20:42,"13News Now, WVEC: local news in Hampton Roads, Virginia; Norfolk, Virginia Beach, Chesapeake, Newport News, Suffolk, Hampton, Portsmouth, OBX, NE North Carolina",2029,75821,37.37,>10,1,1,1,APC,124,"norfolk, va","virginia beach, va",Local,Media
BPDVT,12794062,bfp_news,BurlingtonFreePress,1/28/2008 18:04,Vermont headlines and breaking news from the Burlington Free Press. Updated by BFP newsroom staff. Part of the USA Today Network. https://t.co/2g5al56nqj,6530,35894,5.5,2->10,1,1,1,APC,1,"burlington, vermont","burlington, vermont",Local,Media
ScottsdalePD,13115682,azcentral,azcentral,02-05-2008 22:04,"Arizona's No. 1 local site. Follow us for breaking news, Things to Do, sports, politics and more.",6120,192526,31.46,>10,0,1,2,AC,2,arizona,"scottsdale, arizona",Local,Not Identified
detroitpolice,13160892,wwj950,WWJ950,02-06-2008 14:45,"Michigan's only all news radio station, and your home for traffic and weather on the 8s, 24 hours-a-day.",1580,28050,17.75,>10,1,1,3,APC,4,"detroit, mi","city of detroit, mi",Local,Media
SLMPD,13829772,stlpublicradio,STL Public Radio,2/22/2008 18:06,St. Louis Public Radio provides news that matters and entertaining programs heard on 90.7 KWMU and 90.3 WQUB.,1846,43144,23.37,>10,1,1,3,APC,10,"st. louis, missouri","st. louis, mo",Local,Media
NYPDnews,14061640,wfan660,WFAN Sports Radio,2/29/2008 20:08,The official account of your flagship station for New York sports -- WFAN 660 AM-101.9 FM.,277,77681,280.44,>10,1,1,1,APC,27,"new york, ny",new york city,Local,Not Identified
PortlandPolice,14185814,kgwnews,KGW News,3/20/2008 18:11,"Breaking news, weather, entertainment, & information, for Portland area; NBC affiliate; email tips to newsdesk@kgw.com; job openings at https://t.co/GvpgV2XI7k",1112,101260,91.06,>10,0,1,2,AC,11,"portland, oregon","portland, oregon",Local,Media
PortlandPolice,14189470,vanlue,Will,3/21/2008 4:14,,436,728,1.67,1->2,1,1,1,APC,0,oregon,"portland, oregon",Local,Not Provided
CLEpolice,14296548,wkyc,WKYC Channel 3 News,04-03-2008 20:25,"Visit https://t.co/AnuMgWszC3 for news, weather, sports and information for the #NortheastOhio #NBC affiliate. #SeeThePossible",19783,114784,5.8,2->10,1,1,5,APC,20,"cleveland, oh","cleveland, oh",Local,Media
oaklandpoliceca,14319867,abel_guillen,Abel Guillen,04-07-2008 03:38,Oakland City Councilmember. Public Ed Champ. Muni Finance. Policy Wonk. #OakD2 Go Bears! Email me about City of Oakland issues: aguillen@oaklandnet.com,1981,2440,1.23,1->2,1,1,2,APC,4,"oakland, california","oakland, ca",Local,Politician
SpokanePD,14325612,khqlocalnews,KHQ Local News,04-07-2008 18:37,"News, Weather, Sports and Video from the Inland Northwest",3644,41514,11.39,>10,0,1,2,AC,0,"spokane, wa","spokane, wa",Local,Media
ScottsdalePD,14333333,chandlerpolice,Chandler Police,04-08-2008 15:44,"Site not monitored 24/7. For emergencies call 911.  Follows/RTs are not endorsments.
https://t.co/udugNgWIL2",1009,8845,8.77,2->10,1,1,6,APC,8,"chandler, arizona","scottsdale, arizona",Local,Not Identified
PortlandPolice,14604442,portlandpolice,Portland Police,4/30/2008 19:13,"Sworn to Protect. Dedicated to Serve. Portland, Oregon, USA. Call 911 for Emergencies / 823-3333 for Non-Emergencies",385,71154,184.82,>10,0,1,2,AC,5,"portland, oregon","portland, oregon",Local,Not Identified
StocktonPolice,14609072,recordnet,Recordnet,05-01-2008 02:03,"http://t.co/uZoMOHrisI is the website of The Record in Stockton, Calif. serving San Joaquin County & the Mother Lode. Follow staff here: https://t.co/gXZkWileX3",1060,3374,3.18,2->10,1,1,3,APC,2,"stockton, ca","stockton, ca, usa",Local,Not Identified
NYPDnews,14708747,aspeninstitute,The Aspen Institute,05-09-2008 02:29,Exploring ideas. Inspiring conversations on issues that matter.,3105,64458,20.76,>10,0,1,3,AC,17,"aspen, co and washington, dc",new york city,Non-Local,Not Identified
NYPDnews,14955908,aspca,ASPCA,5/30/2008 16:31,"Fighting animal cruelty, promoting pet adoption, and helping you take good care of your pets!",13029,316844,24.32,>10,1,1,3,APC,31,new york,new york city,Local,Not Identified
PortlandPolice,15564045,fox12oregon,FOX 12 Oregon KPTV,7/23/2008 15:00,"First, live and local news in Portland, Oregon and southwest Washington. Watch The 10 O'clock News every night on FOX 12.",359,119841,333.82,>10,1,1,1,APC,4,"beaverton, or","portland, oregon",Local,Media
sppdPIO,15647676,dhsgov,Homeland Security,7/29/2008 16:32,"The #DHSmission: With honor and integrity, we will safeguard the American people, our homeland, and our values. Deputy Secretary Mayorkas tweets with -ANM.",354,861023,2432.27,>10,0,1,2,AC,260,"washington, d.c.","st. paul, mn",Non-Local,Not Identified
oaklandpoliceca,15652540,ktvu,KTVU,7/29/2008 22:29,"Complete Bay Area News Coverage. Thanks for following us! If you tweet us, we may use it on our digital platforms and TV.",684,207712,303.67,>10,1,1,2,APC,6,"oakland, ca","oakland, ca",Local,Media
oaklandpoliceca,15725199,youthradio,youthradio,08-04-2008 17:47,Producing top level media is what we do. Providing education and career opportunities for diverse youth is how we do it.,995,7087,7.12,2->10,1,1,4,APC,8,"oakland, california","oakland, ca",Local,Not Identified
SpokanePD,15756056,krem2,KREM 2 NEWS,08-06-2008 22:20,"Covers the latest news, weather & sports around the Inland Northwest. Based in #Spokane, Wash. Owned by @Tegna. Check out #KREMBTS for a look behind the scenes.",1851,37261,20.13,>10,1,1,3,APC,6,"spokane, washington","spokane, wa",Local,Media
PortlandPolice,15921060,opbtol,ThinkOutLoud on OPB,8/20/2008 18:30,Radio and conversations about issues that matter.,2227,15193,6.82,2->10,1,1,2,APC,4,oregon and sw washington,"portland, oregon",Local,Not Identified
sppdPIO,15926431,pioneerpress,Pioneer Press,8/21/2008 2:06,"Twin Cities news, sports, politics, entertainment and business from the St. Paul Pioneer Press, Minnesota's first newspaper.",10951,95758,8.74,2->10,0,1,1,AC,12,"st. paul, minnesota","st. paul, mn",Local,Media
NYPDnews,16145875,notifynyc,NYCEM - Notify NYC,09-05-2008 16:45,NYC's official emergency notification system. Important information about emergency events and services. Customer Use Policy http://t.co/kEcRWK3H48,58,216812,3738.14,>10,1,1,1,APC,16,new york city,new york city,Local,Not Identified
CLEpolice,16243550,fox8news,fox8news,09-11-2008 16:58,"Cleveland's own Fox 8 News. Breaking news, weather alerts & tweets that impact you. Add us on @Snapchat at: fox8cleveland
**Your tweets could be used on air**",1706,132949,77.93,>10,0,1,2,AC,41,cleveland,"cleveland, oh",Local,Media
VBPD,16259594,wavy_news,WAVY_News,09-12-2008 17:43,We are On Your Side with daily updates around the clock from the WAVY TV 10 Newsroom.,506,94051,185.87,>10,0,1,1,AC,310,"hampton roads, va.","virginia beach, va",Local,Not Identified
NYPDnews,16299627,cbsnewyork,CBS New York,9/15/2008 18:46,"http://t.co/XkH9DerQdP: Your source for New York News, Weather, Sports and Traffic",3847,109568,28.48,>10,1,1,3,APC,41,new york city,new york city,Local,Media
SLMPD,16332522,mayorslay,MayorSlay.com,9/17/2008 17:06,"Tweets from the Mayor of St. Louis' personal website. The Mayor's own tweets are signed #fgs, his initials.",2444,51031,20.88,>10,0,1,1,AC,11,"st. louis, mo (#stl)","st. louis, mo",Local,Politician
detroitpolice,16543775,detroitnews,The Detroit News,10-01-2008 13:36,Detroit's best source for news and information. You can reach The Detroit News at online(at)detroitnews(dot)com. https://t.co/gma4B8adFW,2148,157879,73.5,>10,1,1,3,APC,4,"detroit,mi usa","city of detroit, mi",Local,Media
CLEpolice,16637204,wews,WEWS NewsChannel 5,10-07-2008 21:16,WEWS NewsChannel 5 is On Your Side with breaking news & weather updates from northeast Ohio.,3082,74242,24.09,>10,1,1,1,APC,4,"cleveland, ohio","cleveland, oh",Local,Not Identified
detroitpolice,17112878,cnnsotu,State of the Union,11-02-2008 10:52,From the staff of CNN's State of the Union with @JakeTapper. Watch Sundays at 9a & 12p ET on @CNN.,398,58193,146.21,>10,1,1,4,APC,3,"washington, d.c.","city of detroit, mi",Local,Media
oaklandpoliceca,17290434,sonorcal,Special Olympics NCA,11-10-2008 17:17,"Special Olympics Northern California provides sports to 19,940 athletes, 7,160 special education student-athletes & work w/ 29,400 general ed students.",1166,1852,1.59,1->2,1,1,1,APC,7,"pleasant hill, ca","oakland, ca",Local,Not Identified
